UID,y
2628,160046.5
2629,124863.0
2630,160046.5
2631,128250.0
2632,160046.5
2633,128250.0
2634,124863.0
2635,64359.4
2636,124863.0
2637,143967.0
2638,128250.0
2639,66476.65
2640,82989.66
2641,143967.0
2642,128250.0
2643,128250.0
2644,143967.0
2645,128250.0
2646,128250.0
2647,128250.0
2648,128250.0
2649,143967.0
2650,128250.0
2651,160046.5
2652,81060.66
2653,64359.4
2654,128250.0
2655,57173.75
2656,124863.0
2657,143967.0
2658,143967.0
2659,124863.0
2660,124863.0
2661,124863.0
2662,143967.0
2663,128250.0
2664,128250.0
2665,128250.0
2666,128250.0
2667,143967.0
2668,64359.4
2669,143967.0
2670,143967.0
2671,143967.0
2672,124863.0
2673,143967.0
2674,143967.0
2675,143967.0
2676,128250.0
2677,128250.0
2678,128250.0
2679,143967.0
2680,124863.0
2681,143967.0
2682,143967.0
2683,160046.5
2684,128250.0
2685,128250.0
2686,52733.97
2687,143967.0
2688,160046.5
2689,160046.5
2690,124863.0
2691,143967.0
2692,128250.0
2693,143967.0
2694,143967.0
2695,124863.0
2696,128250.0
2697,143967.0
2698,143967.0
2699,128250.0
2700,124863.0
2701,143967.0
2702,55312.59
2703,160046.5
2704,143967.0
2705,143967.0
2706,128250.0
2707,128250.0
2708,143967.0
2709,128250.0
2710,143967.0
2711,143967.0
2712,128250.0
2713,143967.0
2714,124863.0
2715,124863.0
2716,160046.5
2717,124863.0
2718,130050.0
2719,55858.22
2720,128250.0
2721,143967.0
2722,128250.0
2723,143967.0
2724,124863.0
2725,128250.0
2726,143967.0
2727,160046.5
2728,143967.0
2729,128250.0
2730,128250.0
2731,128250.0
2732,124863.0
2733,143967.0
2734,49424.95
2735,124863.0
2736,143967.0
2737,63708.52
2738,128250.0
2739,143967.0
2740,160046.5
2741,143967.0
2742,128250.0
2743,143967.0
2744,128250.0
2745,143967.0
2746,128250.0
2747,143967.0
2748,124863.0
2749,128250.0
2750,160046.5
2751,128250.0
2752,143967.0
2753,128250.0
2754,124863.0
2755,128250.0
2756,128250.0
2757,124863.0
2758,49238.29
2759,53789.76
2760,53789.76
2761,143967.0
2762,128250.0
2763,48123.72
2764,57415.47
2765,48885.17
2766,143967.0
2767,143967.0
2768,143967.0
2769,143967.0
2770,143967.0
2771,143967.0
2772,130050.0
2773,143967.0
2774,143967.0
2775,128250.0
2776,160046.5
2777,143967.0
2778,128250.0
2779,128250.0
2780,160046.5
2781,124863.0
2782,66476.65
2783,128250.0
2784,48847.97
2785,160046.5
2786,58519.27
2787,50925.04
2788,128250.0
2789,143967.0
2790,58466.32
2791,55480.45
2792,58276.84
2793,160046.5
2794,128250.0
2795,143967.0
2796,160046.5
2797,160046.5
2798,128250.0
2799,84332.9
2800,143967.0
2801,143967.0
2802,128250.0
2803,82897.16
2804,124863.0
2805,143967.0
2806,128250.0
2807,124863.0
2808,143967.0
2809,128250.0
2810,143967.0
2811,143967.0
2812,54327.02
2813,143967.0
2814,124863.0
2815,143967.0
2816,128250.0
2817,128250.0
2818,124863.0
2819,160046.5
2820,143967.0
2821,130050.0
2822,143967.0
2823,128250.0
2824,128250.0
2825,160046.5
2826,66409.68
2827,46926.81
2828,128250.0
2829,59921.32
2830,124863.0
2831,56809.49
2832,124863.0
2833,124863.0
2834,160046.5
2835,128250.0
2836,124863.0
2837,128250.0
2838,128250.0
2839,128250.0
2840,128250.0
2841,124863.0
2842,124863.0
2843,143967.0
2844,143967.0
2845,48847.97
2846,143967.0
2847,143967.0
2848,64359.4
2849,128250.0
2850,55242.67
2851,60285.15
2852,49238.29
2853,57728.26
2854,143967.0
2855,128250.0
2856,49238.29
2857,124863.0
2858,56809.49
2859,54640.9
2860,58982.42
2861,143967.0
2862,160046.5
2863,143967.0
2864,160046.5
2865,160046.5
2866,124863.0
2867,128250.0
2868,56024.87
2869,124863.0
2870,143967.0
2871,82556.63
2872,160046.5
2873,59305.77
2874,128250.0
2875,128250.0
2876,61024.36
2877,124863.0
2878,128250.0
2879,128250.0
2880,143967.0
2881,143967.0
2882,124863.0
2883,58454.76
2884,143967.0
2885,128250.0
2886,124863.0
2887,128250.0
2888,124863.0
2889,79369.15
2890,143967.0
2891,160046.5
2892,128250.0
2893,128250.0
2894,128250.0
2895,82338.78
2896,143967.0
2897,124863.0
2898,46736.24
2899,128250.0
2900,128250.0
2901,143967.0
2902,128250.0
2903,143967.0
2904,143967.0
2905,143967.0
2906,160046.5
2907,143967.0
2908,124863.0
2909,128250.0
2910,124863.0
2911,124863.0
2912,160046.5
2913,128250.0
2914,128250.0
2915,60489.56
2916,128250.0
2917,124863.0
2918,124863.0
2919,124863.0
2920,160046.5
2921,143967.0
2922,128250.0
2923,128250.0
2924,46926.81
2925,128250.0
2926,80568.95
2927,160046.5
2928,128250.0
2929,143967.0
2930,143967.0
2931,128250.0
2932,143967.0
2933,75274.01
2934,143967.0
2935,143967.0
2936,143967.0
2937,143967.0
2938,143967.0
2939,143967.0
2940,128250.0
2941,160046.5
2942,143967.0
2943,128250.0
2944,143967.0
2945,124863.0
2946,130050.0
2947,143967.0
2948,143967.0
2949,143967.0
2950,128250.0
2951,124863.0
2952,124863.0
2953,80568.95
2954,160046.5
2955,60422.59
2956,160046.5
2957,143967.0
2958,124863.0
2959,143967.0
2960,160046.5
2961,61024.36
2962,143967.0
2963,124863.0
2964,46926.81
2965,143967.0
2966,64426.37
2967,128250.0
2968,124863.0
2969,55312.59
2970,128250.0
2971,128250.0
2972,143967.0
2973,160046.5
2974,55242.67
2975,143967.0
2976,128250.0
2977,124863.0
2978,60489.56
2979,128250.0
2980,160046.5
2981,75274.01
2982,128250.0
2983,124863.0
2984,128250.0
2985,128250.0
2986,124863.0
2987,143967.0
2988,58252.43
2989,130050.0
2990,143967.0
2991,160046.5
2992,160046.5
2993,124863.0
2994,124863.0
2995,143967.0
2996,124863.0
2997,143967.0
2998,57682.31
2999,124863.0
3000,58163.71
3001,128250.0
3002,160046.5
3003,143967.0
3004,128250.0
3005,128250.0
3006,143967.0
3007,46926.81
3008,143967.0
3009,143967.0
3010,143967.0
3011,124863.0
3012,143967.0
3013,124863.0
3014,55858.22
3015,128250.0
3016,160046.5
3017,128250.0
3018,80885.81
3019,124863.0
3020,124863.0
3021,124863.0
3022,143967.0
3023,128250.0
3024,128250.0
3025,143967.0
3026,128250.0
3027,128250.0
3028,143967.0
3029,128250.0
3030,90575.21
3031,128250.0
3032,63276.95
3033,160046.5
3034,63708.52
3035,128250.0
3036,143967.0
3037,160046.5
3038,124863.0
3039,143967.0
3040,82556.63
3041,128250.0
3042,143967.0
3043,61024.36
3044,143967.0
3045,128250.0
3046,143967.0
3047,143967.0
3048,143967.0
3049,59603.78
3050,124863.0
3051,160046.5
3052,128250.0
3053,124863.0
3054,128250.0
3055,160046.5
3056,143967.0
3057,160046.5
3058,143967.0
3059,130050.0
3060,143967.0
3061,128250.0
3062,160046.5
3063,143967.0
3064,124863.0
3065,143967.0
3066,124863.0
