UID,y
2628,158069.1158598839
2629,157789.0156924896
2630,158069.1158598839
2631,193242.73805859307
2632,158069.1158598839
2633,167947.55423780403
2634,157789.0156924896
2635,61754.91073828908
2636,158479.90248995315
2637,174401.7662081645
2638,138084.0562066136
2639,116956.01338845512
2640,16498.777270608567
2641,156766.23294339847
2642,161082.7827261126
2643,158745.7299548264
2644,151177.70593099223
2645,174491.73928793514
2646,175372.75317302236
2647,139313.8730703445
2648,161847.04655005323
2649,174401.7662081645
2650,158745.7299548264
2651,158069.1158598839
2652,113654.27732852331
2653,45008.08942377359
2654,158745.7299548264
2655,21296.893850637352
2656,157789.0156924896
2657,158465.62978743212
2658,128887.35021431558
2659,157789.0156924896
2660,158119.74602685927
2661,117127.24730333827
2662,156416.8176899656
2663,139313.8730703445
2664,129167.45038170987
2665,174681.8663755588
2666,192551.85126112954
2667,177298.7708993704
2668,73834.00735847946
2669,128887.35021431558
2670,128887.35021431558
2671,105663.2899371433
2672,158611.94482086107
2673,199467.97050538997
2674,174542.36945491054
2675,174401.7662081645
2676,118083.96156567507
2677,161847.04655005323
2678,151457.80609838653
2679,158465.62978743212
2680,157789.0156924896
2681,158465.62978743212
2682,158465.62978743212
2683,158069.1158598839
2684,129167.45038170987
2685,175372.75317302236
2686,57428.65417608833
2687,158465.62978743212
2688,209274.89191795478
2689,158069.1158598839
2690,157789.0156924896
2691,128887.35021431558
2692,123437.59676356253
2693,105663.2899371433
2694,180182.27716663328
2695,157789.0156924896
2696,149618.84708191693
2697,158465.62978743212
2698,156766.23294339847
2699,135521.6696776541
2700,157789.0156924896
2701,141039.45918431773
2702,82071.81497813476
2703,158069.1158598839
2704,128887.35021431558
2705,149338.74691452264
2706,129167.45038170987
2707,122608.42866466714
2708,124158.03435974024
2709,175504.79550393028
2710,236049.4614146449
2711,158465.62978743212
2712,217862.47742128203
2713,105663.2899371433
2714,134564.95541531732
2715,157789.0156924896
2716,158069.1158598839
2717,157789.0156924896
2718,118634.79827944149
2719,43940.23218289422
2720,156611.74238326377
2721,158465.62978743212
2722,135521.6696776541
2723,188767.76084004738
2724,157789.0156924896
2725,177578.8710667647
2726,158465.62978743212
2727,158069.1158598839
2728,151177.70593099223
2729,129990.37951008134
2730,158745.7299548264
2731,159999.4171402859
2732,157789.0156924896
2733,105663.2899371433
2734,37634.03688701103
2735,157789.0156924896
2736,158465.62978743212
2737,81404.11081582181
2738,105943.39010453758
2739,128887.35021431558
2740,158760.00265734742
2741,128887.35021431558
2742,161082.7827261126
2743,105663.2899371433
2744,84093.88708292852
2745,133739.9978190132
2746,158745.7299548264
2747,159156.51658489567
2748,157789.0156924896
2749,129167.45038170987
2750,158069.1158598839
2751,178336.93110190984
2752,141272.32576778025
2753,158745.7299548264
2754,134564.95541531732
2755,107999.85477013561
2756,158745.7299548264
2757,157789.0156924896
2758,28807.0888653086
2759,79056.80219702976
2760,79056.80219702976
2761,120350.92778576867
2762,161082.7827261126
2763,91613.92932674196
2764,79733.41629197227
2765,47671.939877334225
2766,161566.94638265896
2767,158465.62978743212
2768,105663.2899371433
2769,128887.35021431558
2770,147204.75934296
2771,151393.30880087602
2772,163266.33667278098
2773,158465.62978743212
2774,174401.7662081645
